# Hand-written task-detection prompts. NOT teacher-labelled: no Galactus server was reachable
# on 2026-09-23 (an unrelated mlx_lm server on :8080 was not used). Format: label|lang|text
# Labels: general, code, scripting, writing, reasoning. Written by the agent, one intent each.
code|fr|Écris une fonction Python qui fusionne deux listes triées en une seule liste triée.
code|fr|Mon composant React se re-rend en boucle, je pense que c'est le useEffect, tu peux regarder ?
code|fr|Comment je fais pour typer correctement un dictionnaire générique en TypeScript ?
code|fr|Refactore cette classe pour séparer la logique métier de l'accès base de données.
code|fr|J'ai une erreur "borrowed value does not live long enough" en Rust, je ne comprends pas.
code|fr|Ajoute des tests unitaires pour la fonction parseDate dans utils.ts.
code|fr|Transforme cette boucle for en compréhension de liste.
code|fr|Peux-tu m'implémenter un cache LRU en Go ?
code|fr|Pourquoi ma requête SQL avec GROUP BY renvoie une erreur sur la colonne nom ?
code|fr|Corrige le bug : la pagination saute toujours la première page.
code|fr|Crée un endpoint FastAPI qui retourne la liste des utilisateurs paginée.
code|fr|Comment fonctionne async/await en JavaScript, avec un petit exemple ?
code|fr|Convertis ce code Java en Kotlin idiomatique.
code|fr|Je veux une regex qui valide un numéro IBAN français.
code|fr|Le build Vite échoue avec "Cannot find module", voici le log.
code|fr|Écris-moi une classe Swift pour gérer un panier d'achat.
code|fr|Optimise cette fonction, elle est en O(n²) et je voudrais du O(n log n).
code|fr|Ajoute la gestion d'erreurs à cette fonction qui lit un fichier JSON.
code|fr|Comment je sérialise une struct en JSON avec serde ?
code|fr|Fais un hook React personnalisé pour récupérer des données avec annulation.
code|fr|Explique-moi ce que fait ce code : const x = arr.reduce((a, b) => a + b, 0);
code|fr|Mon test Jest échoue uniquement en CI, pas en local.
code|fr|Implémente un parseur de fichiers CSV qui gère les guillemets échappés.
code|fr|Renomme les variables de ce module pour qu'elles soient plus lisibles.
code|fr|Écris le schéma Prisma pour des utilisateurs, des articles et des commentaires.
code|fr|Comment éviter une fuite mémoire avec les listeners dans une app Electron ?
code|fr|Ajoute un type générique à cette fonction pour qu'elle accepte n'importe quel tableau.
code|fr|J'ai un segfault dans mon programme C quand je libère un pointeur.
code|fr|Génère une migration Django pour ajouter un champ date_naissance.
code|fr|Écris un algorithme de Dijkstra en C++ avec une file de priorité.
code|fr|Comment je mocke un appel HTTP dans pytest ?
code|fr|Ce composant Vue n'affiche pas la valeur mise à jour, pourquoi ?
code|fr|Fais une fonction qui déduplique un tableau d'objets selon leur id.
code|fr|Mets à jour ce code pour utiliser la nouvelle API fetch au lieu d'axios.
code|fr|Écris une interface TypeScript pour la réponse de cette API météo.
code|fr|Comment je gère proprement les erreurs dans une application Express ?
code|fr|Relis ma pull request et dis-moi ce qui ne va pas dans le code.
code|fr|Code-moi un jeu du morpion en JavaScript dans le navigateur.
code|fr|Est-ce que ce code Python est thread-safe ? Il partage une liste entre threads.
code|fr|Écris la méthode equals et hashCode pour cette classe Java.
code|fr|Comment je lis un fichier ligne par ligne en Rust sans tout charger en mémoire ?
code|fr|Ajoute la validation des champs du formulaire avec zod.
code|en|Write a Python function that checks whether a string is a palindrome.
code|en|My TypeScript build complains that property 'id' does not exist on type 'never'.
code|en|Refactor this function to use early returns instead of nested ifs.
code|en|Implement binary search in Rust with proper handling of empty slices.
code|en|Why does this React state update not show up immediately after setState?
code|en|Add unit tests for the invoice total calculation in billing.py.
code|en|Create a REST endpoint in Express that uploads a file to S3.
code|en|Fix the off-by-one error in this loop that skips the last element.
code|en|How do I use generics with constraints in C#?
code|en|Write a SQL query that returns the top 5 customers by revenue per month.
code|en|Convert this callback-based Node code to async/await.
code|en|Explain what this regex does: ^(?=.*\d)(?=.*[a-z]).{8,}$
code|en|My Go program deadlocks when I close the channel, here is the code.
code|en|Build a small class to represent a matrix with add and multiply methods.
code|en|How can I memoize an expensive selector in Redux?
code|en|Write a Kotlin data class for a user profile with JSON serialization.
code|en|The pytest fixture is not being picked up, what am I missing?
code|en|Implement a trie with insert, search and startsWith.
code|en|Review this function for bugs and edge cases.
code|en|Add type hints to this Python module.
code|en|Why does my Swift closure create a retain cycle?
code|en|Write a debounce function in TypeScript.
code|en|How do I stream a large response body in FastAPI?
code|en|Generate a Svelte component for a sortable table.
code|en|This Java stream throws a NullPointerException, can you see why?
code|en|Rewrite this class using composition instead of inheritance.
scripting|fr|Écris un script bash qui sauvegarde mon dossier Documents tous les soirs.
scripting|fr|Comment je configure une tâche cron qui tourne toutes les 15 minutes ?
scripting|fr|Fais-moi un Dockerfile pour une app Node en production, multi-stage.
scripting|fr|Installe PostgreSQL 16 sur mon Mac avec Homebrew et démarre le service.
scripting|fr|Comment je renomme en masse tous les fichiers .jpeg en .jpg dans un dossier ?
scripting|fr|Écris un docker-compose avec une base Postgres et un Redis.
scripting|fr|Automatise le déploiement de mon site statique sur mon serveur via rsync.
scripting|fr|Comment je trouve les fichiers de plus de 1 Go sur mon disque en ligne de commande ?
scripting|fr|Crée un pipeline GitLab CI qui lance les tests puis construit l'image Docker.
scripting|fr|Mon script shell s'arrête dès qu'une commande échoue, comment l'éviter ?
scripting|fr|Comment je donne les droits d'exécution à un script et le lance au démarrage ?
scripting|fr|Écris un playbook Ansible pour installer nginx sur trois serveurs.
scripting|fr|Comment configurer une clé SSH pour me connecter sans mot de passe ?
scripting|fr|Fais un script qui compresse les logs de plus de 7 jours et supprime les anciens.
scripting|fr|Comment je tue le processus qui occupe le port 3000 ?
scripting|fr|Écris un Makefile avec les cibles build, test et clean.
scripting|fr|Configure un service systemd pour lancer mon API au démarrage.
scripting|fr|Comment je mets à jour tous les paquets brew installés d'un coup ?
